Dow Jones Industrial Avg. - Weekly
Date,Open,High,Low,Close,Adj Close,Volume
3/1/2009,7056.47998,7058.950195,6469.950195,6626.939941,6626.939941,2413720000
2/22/2009,7365.990234,7441.02002,7033.620117,7062.930176,7062.930176,2313680000
2/15/2009,7845.629883,7845.629883,7249.470215,7365.669922,7365.669922,1487450000
2/8/2009,8281.379883,8315.070313,7693.97998,7850.410156,7850.410156,1593370000
2/1/2009,8000.620117,8312.370117,7845.310059,8280.589844,8280.589844,1739860000
1/25/2009,8078.040039,8405.870117,7961.919922,8000.859863,8000.859863,1473020000
1/18/2009,8279.629883,8291.980469,7909.029785,8077.560059,8077.560059,1619790000
1/11/2009,8599.259766,8602.599609,7995.129883,8281.219727,8281.219727,1808670000
1/4/2009,9027.129883,9088.05957,8576.959961,8599.179688,8599.179688,1146800000
12/28/2008,8515.870117,9065.280273,8364.05957,9034.69043,9034.69043,756750000
12/21/2008,8573.370117,8604.120117,8372.019531,8515.549805,8515.549805,539420000
12/14/2008,8628.80957,8961.259766,8469.030273,8579.110352,8579.110352,1630620000
12/7/2008,8637.650391,9026.410156,8347.80957,8629.679688,8629.679688,1438320000
11/30/2008,8826.889648,8827.049805,8118.5,8635.419922,8635.419922,1550460000
11/23/2008,8048.089844,8831.349609,8048.089844,8829.040039,8829.040039,1305340000
11/16/2008,8494.839844,8571.299805,7449.379883,8046.419922,8046.419922,2092220000
11/9/2008,8946.599609,9159.580078,7965.419922,8497.30957,8497.30957,1574130000
11/2/2008,9326.040039,9653.950195,8637.169922,8943.80957,8943.80957,1291190000
10/26/2008,8375.919922,9454.360352,8143.589844,9325.009766,9325.009766,1547730000
10/19/2008,8852.299805,9284.549805,8187.47998,8378.950195,8378.950195,1497820000
10/12/2008,8462.419922,9794.370117,8197.669922,8852.219727,8852.219727,1969430000
10/5/2008,10322.51953,10322.75977,7882.509766,8451.19043,8451.19043,2344910000
