Dow Jones Industrial Avg. - Daily
Date,Open,High,Low,Close,Adj Close,Volume
8/31/2009,9542.910156,9543.05957,9436.129883,9496.280273,9496.280273,201600000
8/28/2009,9582.740234,9630.200195,9495.980469,9544.200195,9544.200195,205770000
8/27/2009,9541.629883,9609.719727,9459.400391,9580.629883,9580.629883,163980000
8/26/2009,9538.610352,9582.969727,9485.780273,9543.519531,9543.519531,154660000
8/25/2009,9509.209961,9620,9508.980469,9539.290039,9539.290039,173890000
8/24/2009,9506.179688,9587.730469,9486.230469,9509.280273,9509.280273,190590000
8/21/2009,9347.860352,9519.110352,9347.25,9505.959961,9505.959961,293530000
8/20/2009,9278.549805,9363.950195,9267.969727,9350.049805,9350.049805,151740000
8/19/2009,9208.679688,9313.089844,9131.94043,9279.160156,9279.160156,176910000
8/18/2009,9134.360352,9233.509766,9134.360352,9217.94043,9217.94043,158530000
8/17/2009,9313.849609,9313.849609,9116.519531,9135.339844,9135.339844,207100000
8/14/2009,9398.040039,9401.969727,9232.830078,9321.400391,9321.400391,172780000
8/13/2009,9362.290039,9406.5,9305.30957,9398.19043,9398.19043,145620000
8/12/2009,9236.05957,9424.110352,9221.019531,9361.610352,9361.610352,197420000
8/11/2009,9334.330078,9334.330078,9216.879883,9241.450195,9241.450195,171380000
8/10/2009,9368.410156,9371.959961,9290.339844,9337.950195,9337.950195,161370000
8/7/2009,9258.450195,9437.709961,9258.450195,9370.070313,9370.070313,216600000
8/6/2009,9277.19043,9325.110352,9208.799805,9256.259766,9256.259766,244450000
8/5/2009,9315.360352,9318.080078,9206.450195,9280.969727,9280.969727,236610000
8/4/2009,9285.049805,9321.099609,9250.740234,9320.19043,9320.19043,195990000
8/3/2009,9173.650391,9298.429688,9173.650391,9286.55957,9286.55957,221690000
7/31/2009,9154.610352,9218.769531,9133.450195,9171.610352,9171.610352,265570000
7/30/2009,9072.839844,9246.429688,9072.610352,9154.459961,9154.459961,232410000
7/29/2009,9092.339844,9094.830078,9014.19043,9070.719727,9070.719727,190510000
7/28/2009,9106.919922,9124.910156,9007.469727,9096.719727,9096.719727,198270000
7/27/2009,9093.089844,9123.400391,9034.519531,9108.509766,9108.509766,176830000
7/24/2009,9066.110352,9100.879883,9007.389648,9093.240234,9093.240234,214310000
7/23/2009,8882.30957,9096.719727,8866.44043,9069.290039,9069.290039,274760000
7/22/2009,8912.389648,8949.799805,8860.320313,8881.259766,8881.259766,199010000
7/21/2009,8848.150391,8927.129883,8811.269531,8915.94043,8915.94043,218910000
7/20/2009,8746.049805,8854.799805,8745.900391,8848.150391,8848.150391,213730000
7/17/2009,8711.889648,8754.290039,8674.410156,8743.94043,8743.94043,301410000
7/16/2009,8612.660156,8739.549805,8584.400391,8711.820313,8711.820313,216580000
7/15/2009,8363.950195,8628.230469,8363.950195,8616.209961,8616.209961,305000000
7/14/2009,8331.370117,8361.230469,8285.200195,8359.490234,8359.490234,189170000
7/13/2009,8146.52002,8331.679688,8130.419922,8331.679688,8331.679688,253520000
7/10/2009,8182.490234,8183.850098,8093.310059,8146.52002,8146.52002,174260000
7/9/2009,8179.009766,8228.669922,8145.310059,8183.169922,8183.169922,192660000
7/8/2009,8163.600098,8219.519531,8087.189941,8178.410156,8178.410156,325250000
7/7/2009,8324.950195,8326.30957,8154.379883,8163.600098,8163.600098,210880000
7/6/2009,8280.740234,8327.969727,8205.990234,8324.870117,8324.870117,206900000
7/2/2009,8503,8503.230469,8280.740234,8280.740234,8280.740234,157800000
7/1/2009,8447.530273,8580.469727,8447.530273,8504.05957,8504.05957,184600000
6/30/2009,8528.929688,8560.44043,8393.950195,8447,8447,233340000
6/29/2009,8440.129883,8533.230469,8429.089844,8529.379883,8529.379883,216480000
6/26/2009,8468.540039,8468.769531,8401.360352,8438.389648,8438.389648,307640000
6/25/2009,8299.25,8490.459961,8259.429688,8472.400391,8472.400391,222540000
6/24/2009,8323.509766,8428.410156,8259.879883,8299.860352,8299.860352,189430000
6/23/2009,8340.44043,8370.900391,8286.410156,8322.910156,8322.910156,237150000
6/22/2009,8538.519531,8538.830078,8334.549805,8339.009766,8339.009766,291240000
6/19/2009,8556.959961,8616.589844,8496.730469,8539.730469,8539.730469,528710000
6/18/2009,8496.730469,8590.519531,8475.120117,8555.599609,8555.599609,220050000
6/17/2009,8504.360352,8563.009766,8461.290039,8497.179688,8497.179688,237870000
6/16/2009,8612.44043,8643.650391,8499.379883,8504.669922,8504.669922,240690000
6/15/2009,8798.5,8798.5,8577.900391,8612.129883,8612.129883,230220000
6/12/2009,8770.009766,8805.530273,8716.730469,8799.259766,8799.259766,164020000
